variant                         MB    head  head%      PPL   ratio       KLD        ±     p99  RMSdp%   top1%
bf16-self                   1192.2    BF16   26.1   21.902  1.0067  -0.00000  0.00000  0.0000   0.001   99.99
plain-Q8_0                   633.5    Q8_0   26.1   21.893  1.0063   0.00274  0.00003  0.0170   1.283   97.03
head-Q6_K-body-Q8_0          595.8    Q6_K   21.4   21.943  1.0086   0.00384  0.00003  0.0213   1.491   96.30
official-Q8_0                633.5    Q8_0   26.1   21.946  1.0087   0.00397  0.00003  0.0266   1.583   96.43
head-Q5_K-body-Q8_0          575.2    Q5_K   18.6   21.956  1.0091   0.00766  0.00004  0.0383   2.073   94.72
plain-Q6_K                   489.2    Q6_K   26.1   21.936  1.0082   0.01041  0.00010  0.0653   2.466   94.32
head-Q4_K-body-Q8_0          555.7    Q4_K   15.7   22.379  1.0286   0.02212  0.00012  0.0997   3.462   91.30
head-IQ4_XS-body-Q8_0        550.8  IQ4_XS   15.0   22.172  1.0191   0.02510  0.00013  0.1125   3.702   90.40
plain-Q5_K_M                 438.5    Q6_K   29.1   22.427  1.0308   0.02725  0.00020  0.1841   4.041   91.29
attn-Q4_K-ffn-Q8_0           545.4    Q8_0   30.3   22.433  1.0311   0.04115  0.00031  0.2734   4.948   89.39
attn-Q8_0-ffn-Q4_K           501.4    Q8_0   33.0   22.541  1.0360   0.05213  0.00045  0.3932   5.782   88.04
edge-Q8_0-mid-Q4_K           476.2    Q8_0   34.7   22.678  1.0424   0.05887  0.00040  0.3832   6.023   87.23
ffn-down-Q8-rest-Q4_K        461.1    Q8_0   35.8   22.708  1.0437   0.06235  0.00049  0.4401   6.160   87.17
head-BF16-body-Q4_K_M        574.3    BF16   54.2   22.900  1.0525   0.07266  0.00057  0.5081   6.672   86.14
head-Q8_0-body-Q4_K_M        428.4    Q8_0   38.6   22.895  1.0523   0.07314  0.00057  0.5247   6.694   86.32
plain-Q4_K_M                 390.8    Q6_K   32.7   22.966  1.0556   0.07407  0.00057  0.5169   6.740   86.12
plain-Q4_K_S                 377.3    Q6_K   33.8   23.034  1.0587   0.08652  0.00064  0.5968   7.250   84.95
head-Q4_K-body-Q4_K_M        350.6    Q4_K   25.0   23.433  1.0770   0.09135  0.00063  0.6103   7.372   84.37
head-Q3_K-body-Q8_0          535.0    Q3_K   12.5   23.478  1.0791   0.09151  0.00045  0.3888   7.084   82.79
plain-IQ4_XS                 361.9    Q6_K   35.3   23.590  1.0843   0.10249  0.00073  0.7125   7.861   83.63
plain-Q4_0                   376.2    Q6_K   33.9   23.956  1.1011   0.14999  0.00093  0.9613   9.265   80.69
plain-Q3_K_M                 341.2    Q6_K   37.4   25.832  1.1873   0.24974  0.00153  1.5954  12.037   75.95
plain-Q2_K                   290.3    Q6_K   44.0   44.665  2.0529   0.84008  0.00418  4.6146  22.440   57.79
